,task_1,task_1,task_2,task_2,task_3,task_3,task_4,task_4,task_5,task_5,task_6,task_6,task_7,task_7,task_8,task_8,task_9,task_9,task_10,task_10
12811,,,,,,,,,,,,,,,,,,,,
12812,,,,,,,,,,,,,,,,,,,,
12813,,,,,,,,,,,,,,,,,,,,
12814,,,,,,,,,,,,,,,,,,,,
12815,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
12816,,,,,,,,,,,,,,,,,,,,
12817,,,,,,,,,,,,,,,,,,,,
12818,,,,,,,,,,,,,,,,,,,,
12819,,,,,,,,,,,,,,,,,,,,
12820,,,,,,,,,,,,,,,,,,,,
12821,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
12822,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,['Merging (None)'],['Merging (Merger)'],['Bulge (Rounded)'],,,,,,,,,,,
12823,,,,,,,,,,,,,,,,,,,,
12824,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (Yes)'],,['Merging (None)'],['Merging (Merger)'],['Bulge (Rounded)'],,,,,,,,,,,
12825,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
12826,,,,,,,,,,,,,,,,,,,,
12827,,,,,,,,,,,,,,,,,,,,
12828,,,,,,,,,,,,,,,,,,,,
12829,,,,,,,,,,,,,,,,,,,,
12830,,,,,,,,,,,,,,,,,,,,
12831,,,,,,,,,,,,,,,,,,,,
12832,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
12833,,,,,,,,,,,,,,,,,,,,
12834,,,,,,,,,,,,,,,,,,,,
12835,,,,,,,,,,,,,,,,,,,,
12836,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
12837,,,,,,,,,,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,
12838,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Minor Disturbance)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Moderate)']
12839,,,,,,,,,,,,,,,,,,,,
12840,,,,,,,,,,,,,,,,,,,,
12841,,,,,,,,,,,,,,,,,,,,
12842,,,,,,,,,,,,,,,,,,,,
12843,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
12844,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
12845,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12846,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],['Merging (Major Disturbance)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Moderate)']
12847,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12848,,,,,,,,,,,,,,,,,,,,
12849,,,,,,,,,,,,,,,,,,,,
12850,,,,,,,,,,,,,,,,,,,,
12851,,,,,,,,,,,,,,,,,,,,
12852,,,,,,,,,,,,,,,,,,,,
12853,,,,,,,,,,,,,,,,,,,,
12854,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12855,,,,,,,,,,,,,,,,,,,,
12856,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
12857,,,,,,,,,,,,,,,,,,,,
12858,,,,,,,,,,,['Weak Bar'],['No Bar'],,,,,['Spiral Arms (1)'],['Spiral Arms (2)'],['Central Bulge (Large)'],['Central Bulge (Moderate)']
12859,,,,,,,,,,,,,,,,,,,,
12860,,,,,,,,,,,,,,,,,,,,
12861,,,,,,,,,,,,,,,,,,,,
12862,,,,,,,,,,,,,,,,,,,,
12863,,,,,,,,,,,,,,,,,,,['Central Bulge (Large)'],['Central Bulge (Moderate)']
12864,,,,,,,,,,,,,,,,,,,,
12865,,,,,,,,,,,,,,,,,,,,
12866,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
12867,,,,,,,,,,,,,,,,,,,,
12868,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
12869,,,,,,,,,,,,,,,,,,,,
12870,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (Yes)'],['Merging (None)'],['Merging (Merger)'],,['Bulge (Rounded)'],,,,,,,,,,
12871,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
12872,,,,,,,,,,,,,,,,,,,,
12873,,,,,,,,,,,,,,,,,,,,
12874,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (None)']
12875,,,,,,,,,,,,,,,,,,,,
12876,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],,,['Central Bulge (Large)'],['Central Bulge (Moderate)']
12877,,,,,,,,,,,,,,,,,,,,
12878,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
12879,,,,,,,,,,,,,,,,,,,,
12880,,,,,,,,,,,,,,,,,,,,
12881,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
12882,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
12883,,,,,,,,,,,,,,,,,,,,
12884,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
12885,,,,,,,,,,,,,,,,,,,,
12886,,,,,,,,,,,,,,,,,,,,
12887,,,,,,,,,,,,,,,,,,,,
12888,,,,,,,['Merging (Major Disturbance)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
12889,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (Yes)'],['Merging (Merger)'],['Merging (None)'],,['Bulge (None)'],,,,,,,,,,
12890,,,,,,,,,,,,,,,,,,,,
12891,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
12892,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
12893,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
12894,,,,,,,,,,,,,,,,,,,,
12895,,,,,,,,,,,['Strong Bar'],['Weak Bar'],,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],,
12896,,,,,,,,,,,,,,,,,,,,
12897,,,,,,,,,,,,,,,,,,,,
12898,,,,,,,,,,,,,,,,,,,,
12899,,,,,,,,,,,,,,,,,,,,
12900,,,,,,,,,,,,,,,,,,,,
12901,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
12902,,,,,,,,,,,,,,,,,,,,
12903,,,,,,,,,,,,,,,,,,,,
12904,,,,,,,,,,,,,,,,,,,,
12905,,,,,,,,,,,,,,,,,,,,
12906,,,,,,,,,,,,,,,,,,,,
12907,,,,,,,,,,,,,,,,,,,,
12908,,,,,,,,,,,,,,,,,,,,
12909,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (No)'],,,,,,['Strong Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Large)'],
12910,,,,,,,,,,,,,,,,,,,,
12911,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,['Merging (None)'],['Merging (Merger)'],,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Large)'],
12912,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
12913,,,,,,,,,,,,,,,,,,,,
12914,,,,,,,,,,,,,,,,,,,,
12915,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12916,,,,,,,,,,,,,,,,,,,,
12917,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12918,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12919,,,,,,,,,,,,,,,,,,,,
12920,,,['In Between'],['Round'],,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
12921,,,,,,,,,,,,,,,,,,,,
12922,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
12923,,,,,,,,,,,,,,,,,['Spiral Arms (More Than 4)'],['Spiral Arms (2)'],,
12924,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
12925,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (None)']
12926,,,,,,,,,,,,,,,,,,,,
12927,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)']
12928,,,,,,,,,,,,,,,,,,,,
12929,['Featured or Disk'],['Artifact'],,,['Edge On Disk (Yes)'],,['Merging (None)'],,['Bulge (Rounded)'],,,,,,,,,,,
12930,,,,,,,,,,,,,,,,,,,,
12931,,,,,,,,,,,,,,,,,,,,
12932,,,,,,,,,,,,,,,,,,,,
12933,,,,,,,,,,,,,,,,,,,,
12934,,,,,,,,,,,,,,,,,,,,
12935,,,,,,,,,,,,,,,,,,,,
12936,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,,
12937,,,,,,,,,,,,,,,,,,,,
12938,,,,,,,,,,,,,,,,,,,,
12939,,,,,,,,,,,,,,,,,,,,
12940,,,,,,,,,,,,,,,,,,,,
12941,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,['Merging (Merger)'],['Merging (None)'],,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (1)'],,['Central Bulge (Moderate)'],
12942,,,,,,,,,,,,,,,,,,,,
12943,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
12944,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
12945,,,,,,,,,,,,,,,,,,,,
12946,,,,,,,,,,,,,,,,,,,,
12947,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
12948,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12949,,,,,,,,,,,,,,,,,,,,
12950,,,,,,,,,,,,,,,,,,,,
12951,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
12952,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
12953,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
12954,,,,,,,,,,,,,,,,,,,,
12955,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
12956,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,['Spiral Arms (1)'],['Spiral Arms (2)'],,
12957,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
12958,,,,,,,,,,,,,,,,,,,,
12959,,,,,,,,,,,,,,,,,,,,
12960,,,,,,,,,,,,,,,,,,,,
12961,,,,,,,,,,,,,,,,,,,,
12962,,,,,,,,,,,,,,,,,,,,
12963,,,['Round'],['In Between'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
12964,,,,,,,,,,,,,,,,,,,,
12965,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,,
12966,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
12967,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
12968,,,,,,,,,,,,,,,,,,,,
12969,,,,,,,,,,,,,,,,,,,,
12970,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
12971,,,,,,,,,,,,,,,,,['Spiral Arms (4)'],['Spiral Arms (3)'],,
12972,,,,,,,,,,,,,,,,,,,,
12973,,,,,,,,,,,,,,,,,,,,
12974,,,,,,,,,,,,,,,,,,,,
12975,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
12976,,,,,,,,,,,,,,,,,,,,
12977,['Smooth'],['Artifact'],['In Between'],,,,['Merging (None)'],,,,,,,,,,,,,
12978,,,,,,,,,,,,,,,,,,,,
12979,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
12980,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,['Central Bulge (Small)'],['Central Bulge (None)']
12981,,,,,,,,,,,,,,,,,,,,
12982,,,,,,,,,,,,,,,,,,,,
12983,,,,,,,,,,,,,,,,,,,,
12984,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12985,,,,,,,,,,,,,,,,,,,,
12986,,,,,,,,,,,,,,,,,,,,
12987,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
12988,,,,,,,,,,,,,,,,,,,,
12989,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
12990,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
12991,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
12992,['Artifact'],['Smooth'],,['In Between'],,,,['Merging (None)'],,,,,,,,,,,,
12993,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (None)']
12994,,,,,,,,,,,,,,,,,,,,
12995,,,,,,,,,,,,,,,,,,,,
12996,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)']
12997,,,,,,,,,,,,,,,,,,,,
12998,,,,,,,,,,,,,,,,,,,,
12999,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
13000,,,,,,,,,,,,,,,,,,,,
13001,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13002,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
13003,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,,
13004,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
13005,,,,,,,,,,,,,,,,,,,,
13006,,,,,,,,,,,,,,,,,,,,
13007,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
13008,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
13009,,,,,,,,,,,,,,,,,,,,
13010,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
13011,,,,,,,,,,,,,,,,,,,,
13012,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,['No Bar'],['Weak Bar'],,,,,,,['Central Bulge (Moderate)'],['Central Bulge (None)']
13013,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)']
13014,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,['Central Bulge (None)'],['Central Bulge (Small)']
13015,,,,,,,,,,,,,,,,,,,,
13016,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
13017,,,,,,,,,,,,,,,,,,,,
13018,,,,,,,,,,,,,,,,,,,,
13019,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
13020,,,,,,,,,,,,,,,,,,,,
13021,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
13022,,,,,,,['Merging (Minor Disturbance)'],['Merging (Merger)'],,,['Weak Bar'],['No Bar'],['Spiral Arms (Yes)'],['Spiral Arms (No)'],['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,,
13023,,,,,,,,,,,,,,,,,,,,
13024,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
13025,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13026,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,
13027,,,,,,,,,,,,,,,,,,,,
13028,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
13029,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],['Merging (Major Disturbance)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
13030,,,,,,,,,,,,,,,,,,,,
13031,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (1)'],,['Central Bulge (Small)'],
13032,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
13033,,,,,,,,,,,,,,,,,,,,
13034,,,,,,,,,,,,,,,,,,,,
13035,,,,,,,['Merging (Major Disturbance)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
13036,,,,,,,,,,,,,,,,,,,,
13037,,,['In Between'],['Round'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
13038,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
13039,,,,,,,,,,,,,,,,,,,,
13040,,,,,,,,,,,,,,,,,['Spiral Arms (3)'],['Spiral Arms (cannot tell)'],['Central Bulge (Small)'],['Central Bulge (Moderate)']
13041,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
13042,,,,,,,,,,,,,,,,,,,,
13043,,,,,,,,,,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,
13044,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13045,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13046,,,,,,,,,,,,,,,,,,,,
13047,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
13048,,,,,,,,,,,,,,,,,,,,
13049,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
13050,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,['No Bar'],['Weak Bar'],,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
13051,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
13052,,,,,,,,,,,,,,,,,,,,
13053,,,,,,,,,,,,,,,,,,,,
13054,,,,,,,,,,,,,,,,,,,,
13055,,,,,,,,,,,,,,,,,,,,
13056,,,,,,,,,,,,,,,,,,,,
13057,,,,,,,,,,,,,,,,,,,,
13058,,,,,,,,,,,,,,,,,,,,
13059,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
13060,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13061,,,,,,,,,,,,,,,,,,,,
13062,,,,,,,,,,,,,,,,,,,,
13063,,,,,,,,,,,,,,,,,,,,
13064,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
13065,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (None)'],['Merging (Minor Disturbance)'],,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
13066,,,,,,,,,,,,,,,,,,,,
13067,,,,,,,,,,,,,,,,,,,,
13068,,,['Cigar Shaped'],['Round'],,,,,,,,,,,,,,,,
13069,,,,,,,,,,,,,,,,,,,,
13070,,,,,,,,,,,,,,,,,,,,
13071,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
13072,,,['In Between'],['Round'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
13073,,,,,,,,,,,,,,,,,,,,
13074,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
13075,,,,,,,,,,,,,,,,,,,,
13076,,,,,,,,,,,,,,,,,,,,
13077,,,,,,,,,,,,,,,,,,,,
13078,,,,,,,,,,,,,,,,,,,,
13079,,,,,,,,,,,,,,,,,,,,
13080,,,,,,,,,,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,
13081,,,,,,,,,,,,,,,,,,,,
13082,,,,,,,,,,,,,,,,,,,,
13083,,,,,,,,,,,,,,,,,,,,
13084,,,,,,,,,,,,,,,,,,,,
13085,,,,,,,,,,,,,,,,,,,,
13086,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (Yes)'],['Merging (None)'],['Merging (Minor Disturbance)'],,['Bulge (Rounded)'],,,,,,,,,,
13087,,,,,,,,,,,,,,,,,,,,
13088,,,,,,,,,,,,,,,,,,,,
13089,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
13090,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
13091,,,,,,,,,,,['Strong Bar'],['Weak Bar'],['Spiral Arms (Yes)'],['Spiral Arms (No)'],['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)'],['Central Bulge (Small)']
13092,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
13093,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13094,,,,,,,,,,,,,,,,,,,,
13095,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
13096,,,,,,,,,,,,,,,,,,,,
13097,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
13098,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
13099,,,,,,,,,,,,,,,,,,,,
13100,,,,,,,,,,,,,,,,,,,,
13101,,,,,,,,,,,,,,,,,,,,
13102,,,,,,,,,['Bulge (None)'],['Bulge (Rounded)'],,,,,,,,,,
13103,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,['Spiral Arms (3)'],['Spiral Arms (2)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
13104,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13105,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
13106,,,,,,,,,,,,,,,,,,,,
13107,,,,,,,,,,,,,,,,,,,,
13108,,,,,,,,,,,,,,,,,,,,
13109,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Moderate)']
13110,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
13111,,,,,,,,,,,,,,,,,,,,
13112,,,,,['Edge On Disk (Yes)'],['Edge On Disk (No)'],,,['Bulge (Rounded)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
13113,,,,,,,,,,,,,,,,,,,,
13114,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
13115,,,,,,,,,,,,,,,,,,,,
13116,,,,,,,,,,,,,,,,,,,,
13117,,,,,,,,,,,,,,,,,,,,
13118,,,,,,,,,,,,,,,,,,,,
13119,,,,,,,,,,,,,,,,,,,,
13120,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)'],
13121,,,,,,,,,,,,,,,,,,,,
13122,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
13123,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
13124,,,,,,,,,,,,,,,,,,,,
13125,,,,,['Edge On Disk (Yes)'],['Edge On Disk (No)'],,,['Bulge (Rounded)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
13126,,,,,,,,,,,,,,,,,,,,
13127,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
13128,,,,,,,,,,,,,,,,,,,,
13129,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Moderate)']
